,I1,I2,V1,V2,a1,a2,b1,b2,gammaTuple,harmonic,power,Pin,Pout,Gain,Pdc1,Pdc2,PAE,drainEff,Load Gamma,r,x
1376,,,,,(-1.0961e-09+1.3851e-09j),(-2.8738e-09+5.37e-09j),(-0.012413+0.0014509j),(-0.041228+0.012461j),"(51,)",3,9,-11.073832222146196,-0.3268034461535893,10.747028775992607,,,,,(9.994293654897029e-08-1.0004392809894446e-07j),9.994293654897029e-08,-1.0004392809894446e-07
1377,3.599e-12,0.026687,-0.3,3.0,(0.070879+9.1658e-09j),(-0.14616+0.13944j),(-0.064147-0.043376j),(-0.0059376+0.25244j),"(52,)",1,1,-3.1314827047139415,10.598463458900092,13.72994616361403,-1.0797e-12,0.080061,14.943250669964089,14.335912300470879,(0.565674239163691+0.5656839353412362j),0.565674239163691,0.5656839353412362
1378,,,,,(-9.0282e-10+1.8747e-10j),(-2.8093e-09+2.0306e-09j),(-0.0054495-0.0035762j),(-0.024199-0.0039061j),"(52,)",2,1,-16.727815270007444,-5.222644952339234,11.505170317668211,,,,,(9.994275139259984e-08-1.0004489364083783e-07j),9.994275139259984e-08,-1.0004489364083783e-07
1379,,,,,(1.0092e-10+5.5471e-10j),(6.8157e-10+1.8208e-09j),(-0.0022685+0.0032817j),(-0.0057029+0.01251j),"(52,)",3,1,-20.992056936672494,-10.245149571206282,10.746907365466212,,,,,(9.994162411892245e-08-1.0004213334834555e-07j),9.994162411892245e-08,-1.0004213334834555e-07
1380,4.6955e-10,0.024197,-0.3,3.0,(0.079527+9.407e-09j),(-0.15588+0.14286j),(-0.0668-0.052263j),(-0.01151+0.26405j),"(52,)",1,2,-3.6195153095545365,10.994618610878293,14.614133920432831,-1.4086499999999998e-10,0.072591,17.919884035210917,17.321244093620425,(0.5656921940056342+0.5656840857678286j),0.5656921940056342,0.5656840857678286
1381,,,,,(-1.2294e-09+1.5229e-10j),(-3.9871e-09+2.4081e-09j),(-0.0069017-0.0053928j),(-0.031974-0.0079117j),"(52,)",2,2,-14.16145433674834,-2.6562760772942213,11.505178259454121,,,,,(9.994304096696212e-08-1.0004439098074417e-07j),9.994304096696212e-08,-1.0004439098074417e-07
1382,,,,,(3.3723e-11+7.3157e-10j),(5.5712e-10+2.4586e-09j),(-0.0034886+0.0038193j),(-0.0095155+0.015075j),"(52,)",3,2,-18.73586369495058,-7.988756036549062,10.74710765840152,,,,,(9.994362220135932e-08-1.0004202567542519e-07j),9.994362220135932e-08,-1.0004202567542519e-07
1383,7.2655e-09,0.02142,-0.3,3.0,(0.089231+9.5793e-09j),(-0.165+0.14545j),(-0.068926-0.062393j),(-0.017282+0.2744j),"(52,)",1,3,-4.675586780104821,11.337516130526662,16.01310291063148,-2.17965e-09,0.06426000000000001,21.704663544973464,21.174389218798623,(0.5656929707366547+0.5656840163255435j),0.5656929707366547,0.5656840163255435
1384,,,,,(-1.5737e-09+7.0093e-11j),(-5.2933e-09+2.6625e-09j),(-0.0082235-0.0075177j),(-0.039775-0.013175j),"(52,)",2,3,-12.071120780492251,-0.5659669303891733,11.505153850103076,,,,,(9.994272430500427e-08-1.000438816522547e-07j),9.994272430500427e-08,-1.000438816522547e-07
1385,,,,,(-6.6517e-11+8.9587e-10j),(3.199e-10+3.0794e-09j),(-0.0048123+0.0041471j),(-0.013807+0.01699j),"(52,)",3,3,-16.95114675328757,-6.204285931955493,10.746860821332076,,,,,(9.994327440583784e-08-1.0004807473345513e-07j),9.994327440583784e-08,-1.0004807473345513e-07
1386,3.1171e-08,0.018517,-0.3,3.0,(0.10012+9.6752e-09j),(-0.17338+0.14724j),(-0.070456-0.073855j),(-0.023101+0.2834j),"(52,)",1,4,-7.048789009211635,11.629969055256081,18.67875806446772,-9.3513e-09,0.055550999999999996,26.55538942773299,26.20022519936634,(0.5656587599600544+0.5656764890125716j),0.5656587599600544,0.5656764890125716
