,gammaTuple,power,harmonic,a1,b1,a2,b2,V1,I1,V2,I2,Gs,Gin,Pdel,Pin,Pout,Gain,PGain,Pdc1,Pdc2,PAE,drainEff,Load Gamma,r,jx
337,"(13,)",5,2,(-1.1286e-10-1.0506e-09j),(0.0046905-0.0058184j),(-2.0029e-09-3.4327e-09j),(0.0071635-0.027176j),,,,,0,(5000853.124879895+5001804.953049634j),-45.53971292199521,-182.5317214750439,-34.03484983753674,148.49687163750716,11.504863084458474,,,,,(9.994202730399336e-08-1.0004543393406523e-07j),9.994202730399336e-08,-1.0004543393406523e-07
338,"(13,)",5,3,(-1.9404e-10+6.8398e-10j),(-0.0043894+0.0024507j),(-2.4106e-10+2.4381e-09j),(-0.013402+0.010979j),,,,,0,(5001084.418422734+4998668.936883026j),-48.98377273533542,-185.97325879659795,-38.2368868902094,147.73637190638854,10.746885845126023,,,,,(9.994463312752042e-08-1.0004535687904443e-07j),9.994463312752042e-08,-1.0004535687904443e-07
339,"(13,)",6,1,(0.12604+5.7671e-09j),(-0.057299-0.12569j),(-0.14318-0.054462j),(-0.13615+0.35796j),-0.3,1.1314e-07,3.0,0.036814,0,(-0.4546096933599273-0.997223082975408j),-27.965496316714457,-21.000132066600564,-12.103996806719534,8.896135259881026,15.861499509994918,-3.3942e-08,0.110442,48.58635331486208,55.77840054327158,(-8.594131244012587e-06+0.3999920943428564j),-8.594131244012587e-06,0.3999920943428564
340,"(13,)",6,2,(-1.1586e-10-1.3117e-09j),(0.0059788-0.0071387j),(-2.415e-09-4.3228e-09j),(0.0095568-0.033687j),,,,,0,(5000707.547777967+4999757.548590041j),-43.62975399045222,-180.6198580411819,-32.12487669976467,148.49498134141723,11.50487729068755,,,,,(9.994115880103705e-08-1.0004208348709445e-07j),9.994115880103705e-08,-1.0004208348709445e-07
341,"(13,)",6,3,(-3.2393e-10+8.524e-10j),(-0.0058785+0.0026368j),(-5.8102e-10+3.0857e-09j),(-0.018341+0.012515j),,,,,0,(4993083.480414688+4998932.9753510915j),-46.828827394942856,-183.8115917387361,-36.081676552422984,147.7299151863131,10.747150842519876,,,,,(9.99437600497699e-08-1.000438276526432e-07j),9.99437600497699e-08,-1.000438276526432e-07
342,"(13,)",7,1,(0.14142+5.6695e-09j),(-0.057178-0.14189j),(-0.14697-0.057968j),(-0.14492+0.36742j),-0.3,1.8464e-07,3.0,0.0371,0,(-0.4043134329539112-1.0033234175346133j),-27.692344932190792,-20.00008329848046,-11.836301119322139,8.16378217915832,15.856043812868652,-5.5392e-08,0.11130000000000001,49.882828605570516,58.867382244384544,(1.8579574979676218e-06+0.4000047105350808j),1.8579574979676218e-06,0.4000047105350808
343,"(13,)",7,2,(-1.1274e-10-1.5662e-09j),(0.0072699-0.0083937j),(-2.7942e-09-5.202e-09j),(0.01206-0.039977j),,,,,0,(4999245.922265939+5001605.788070656j),-42.1004703390829,-179.0909103789553,-30.595821068715708,148.4950893102396,11.504649270367189,,,,,(9.994373097748037e-08-1.0004556108733555e-07j),9.994373097748037e-08,-1.0004556108733555e-07
344,"(13,)",7,3,(-4.848e-10+1.0158e-09j),(-0.0075002+0.0026532j),(-1.0258e-09+3.7391e-09j),(-0.023833+0.013556j),,,,,0,(4997485.256464722+4998443.736627194j),-44.996779493173555,-181.9829428248363,-34.24940946523742,147.73353335959888,10.74737002793613,,,,,(9.994337217208786e-08-1.0004060113435896e-07j),9.994337217208786e-08,-1.0004060113435896e-07
345,"(13,)",8,1,(0.15868+5.5539e-09j),(-0.0564-0.15975j),(-0.15023-0.060913j),(-0.15228+0.37559j),-0.3,2.7562e-07,3.0,0.03737,0,(-0.355432351848693-1.006743118388986j),-27.542800923900863,-18.99985612059755,-11.612214090638284,7.387642029959265,15.930586833262577,-8.268599999999999e-08,0.11211,50.30695639595037,61.536705035679226,(-7.849100099336269e-06+0.39998720748945166j),-7.849100099336269e-06,0.39998720748945166
346,"(13,)",8,2,(-1.0902e-10-1.8047e-09j),(0.0084744-0.0095602j),(-3.1459e-09-6.0213e-09j),(0.014401-0.045831j),,,,,0,(4995495.816092037+4997511.472195021j),-40.882755689933894,-177.86637999316386,-29.378187739221776,148.4881922539421,11.504567950712122,,,,,(9.994417283659058e-08-1.0004573395779584e-07j),9.994417283659058e-08,-1.0004573395779584e-07
